id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,60,4.14,7,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,41,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,62,0.0,0,0
6,William Saliba,DEF,Arsenal,59,4.84,6,90
7,Riccardo Calafiori,DEF,Arsenal,57,4.75,6,90
8,Jurriën Timber,DEF,Arsenal,65,4.63,6,90
10,Myles Lewis-Skelly,DEF,Arsenal,51,1.28,0,0
11,Benjamin White,DEF,Arsenal,53,0.0,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,1.67,1,9
13,Brayden Clarke,DEF,Arsenal,38,0.0,0,0
15,Josh Nichols,DEF,Arsenal,38,0.0,0,0
16,Bukayo Saka,MID,Arsenal,103,5.35,3,90
17,Martin Ødegaard,MID,Arsenal,78,3.63,3,87
18,Noni Madueke,MID,Arsenal,68,1.22,0,0
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.71,0,10
20,Leandro Trossard,MID,Arsenal,69,3.6,3,79
21,Declan Rice,MID,Arsenal,71,4.25,11,90
22,Mikel Merino Zazón,MID,Arsenal,60,1.38,1,2
24,Christian Nørgaard,MID,Arsenal,52,0.22,0,0
25,Ethan Nwaneri,MID,Arsenal,51,0.46,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,52,3.03,3,90
27,Reiss Nelson,MID,Brentford,48,0.44,0,0
30,Kai Havertz,FWD,Arsenal,73,1.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.46,1,25
32,Emiliano Martínez Romero,GK,Aston Villa,51,1.64,3,90
33,Marco Bizot,GK,Aston Villa,42,1.59,0,0
36,Matty Cash,DEF,Aston Villa,49,3.62,2,90
37,Lucas Digne,DEF,Aston Villa,45,1.36,1,15
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.27,2,90
39,Ian Maatsen,DEF,Aston Villa,42,3.49,2,74
40,Tyrone Mings,DEF,Aston Villa,43,0.0,0,0
41,Pau Torres,DEF,Aston Villa,43,0.0,0,0
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.68,0,2
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,71,4.13,15,90
48,Youri Tielemans,MID,Aston Villa,59,3.8,2,90
50,Emiliano Buendía Stati,MID,Aston Villa,53,2.57,1,6
52,Jacob Ramsey,MID,Newcastle,53,0.54,2,88
53,Donyell Malen,MID,Aston Villa,51,3.16,1,15
54,John McGinn,MID,Aston Villa,54,3.66,5,83
55,Ross Barkley,MID,Aston Villa,48,0.0,0,0
58,Boubacar Kamara,MID,Aston Villa,49,2.74,2,87
59,Amadou Onana,MID,Aston Villa,48,1.8,4,83
60,Ben Broggio,MID,Aston Villa,45,0.02,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,43,0.02,0,0
64,Ollie Watkins,FWD,Aston Villa,85,4.2,5,74
67,Đorđe Petrović,GK,Bournemouth,45,3.75,2,90
68,Will Dennis,GK,Bournemouth,40,0.04,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,49,5.09,4,90
73,Adam Smith,DEF,Bournemouth,44,2.04,0,0
74,Adrien Truffert,DEF,Bournemouth,45,4.35,5,90
75,Matai Akinmboni,DEF,Bournemouth,38,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,39,0.0,0,0
77,James Hill,DEF,Bournemouth,39,0.82,0,0
78,Julián Araujo Zúñiga,DEF,Bournemouth,38,0.07,0,0
80,Julio Soler Barreto,DEF,Bournemouth,40,0.14,0,0
81,Justin Kluivert,MID,Bournemouth,70,3.98,3,63
82,Antoine Semenyo,MID,Bournemouth,76,5.34,10,90
83,Dango Ouattara,MID,Brentford,60,0.0,0,0
84,Marcus Tavernier,MID,Bournemouth,56,4.83,2,90
85,Tyler Adams,MID,Bournemouth,50,0.0,0,0
86,David Brooks,MID,Bournemouth,50,3.16,2,73
87,Ryan Christie,MID,Bournemouth,49,0.0,1,16
88,Lewis Cook,MID,Bournemouth,49,2.1,4,90
90,Alex Scott,MID,Bournemouth,50,3.75,1,1
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,70,4.39,2,62
98,Enes Ünal,FWD,Bournemouth,54,0.35,1,27
100,Junior Kroupi,FWD,Bournemouth,46,1.49,1,26
101,Caoimhín Kelleher,GK,Brentford,45,3.8,13,90
102,Ellery Balcombe,GK,Brentford,40,0.0,0,0
103,Matthew Cox,GK,Brentford,39,0.0,0,0
104,Julian Eyestone,GK,Brentford,39,0.0,0,0
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.04,0,0
106,Nathan Collins,DEF,Brentford,49,4.67,8,90
107,Keane Lewis-Potter,DEF,Brentford,48,4.56,21,90
108,Kristoffer Ajer,DEF,Brentford,44,2.11,0,0
109,Rico Henry,DEF,Brentford,43,0.36,5,90
110,Michael Kayode,DEF,Brentford,45,3.75,5,90
111,Ethan Pinnock,DEF,Brentford,42,0.75,0,0
113,Sepp van den Berg,DEF,Brentford,45,4.29,7,90
114,Benjamin Arthur,DEF,Brentford,39,0.0,0,0
116,Aaron Hickey,DEF,Brentford,40,2.66,0,0
119,Bryan Mbeumo,MID,Man Utd,82,0.0,0,0
120,Kevin Schade,MID,Brentford,70,4.7,3,90
121,Mikkel Damsgaard,MID,Brentford,58,4.09,4,26
122,Antoni Milambo,MID,Brentford,52,0.0,0,0
123,Fábio Freitas Gouveia Carvalho,MID,Brentford,47,0.0,0,0
124,Jordan Henderson,MID,Brentford,50,2.49,0,0
125,Vitaly Janelt,MID,Brentford,49,1.92,9,90
126,Mathias Jensen,MID,Brentford,49,2.2,3,63
127,Gustavo Nunes Fernandes Gomes,MID,Brentford,49,0.0,0,0
128,Frank Onyeka,MID,Brentford,48,0.0,0,0
129,Yehor Yarmoliuk,MID,Brentford,50,2.96,5,90
130,Romelle Donovan,MID,Brentford,44,0.0,0,0
131,Yunus Emre Konak,MID,Brentford,43,0.0,0,0
132,Paris Maghoma,MID,Brentford,45,0.0,0,0
133,Myles Peart-Harris,MID,Brentford,44,0.0,0,0
135,Yoane Wissa,FWD,Newcastle,73,1.34,0,17
136,Igor Thiago Nascimento Rodrigues,FWD,Brentford,72,3.58,2,90
137,Iwan Morgan,FWD,Brentford,44,0.0,0,0
138,Jason Steele,GK,Brighton,42,0.04,0,0
139,Bart Verbruggen,GK,Brighton,44,3.71,11,90
140,Tom McGill,GK,Brighton,39,0.0,0,0
143,Olivier Boscagli,DEF,Brighton,42,3.69,8,90
144,Diego Coppola,DEF,Brighton,42,0.45,7,90
145,Maxim De Cuyper,DEF,Brighton,43,2.27,6,63
146,Lewis Dunk,DEF,Brighton,45,0.0,0,0
148,Ferdi Kadıoğlu,DEF,Brighton,44,3.75,6,90
149,Igor Julio dos Santos de Paulo,DEF,West Ham,45,0.32,0,0
151,Jan Paul van Hecke,DEF,Brighton,46,4.08,0,0
152,Joël Veltman,DEF,Brighton,43,0.74,1,45
153,Adam Webster,DEF,Brighton,44,0.0,0,0
156,Charlie Tasker,DEF,Brighton,39,0.01,0,0
157,Mitoma Kaoru,MID,Brighton,61,2.78,1,26
158,Georginio Rutter,MID,Brighton,56,4.55,3,90
159,Solly March,MID,Brighton,58,0.0,0,0
160,Yankuba Minteh,MID,Brighton,61,4.46,3,70
162,Brajan Gruda,MID,Brighton,54,4.05,2,85
163,Jack Hinshelwood,MID,Brighton,51,3.06,3,70
166,Yasin Ayari,MID,Brighton,48,3.71,3,90
167,Carlos Baleba,MID,Brighton,46,0.0,0,0
168,Facundo Buonanotte,MID,Chelsea,46,0.0,0,0
169,Diego Gómez Amarilla,MID,Brighton,49,0.0,0,0
170,James Milner,MID,Brighton,49,1.64,1,19
