id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,60,3.98,2,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,41,0.05,0,0
4,Tommy Setford,GK,Arsenal,39,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,63,4.66,15,76
6,William Saliba,DEF,Arsenal,59,4.46,2,90
7,Riccardo Calafiori,DEF,Arsenal,57,1.69,0,0
8,Jurriën Timber,DEF,Arsenal,64,4.14,9,82
10,Myles Lewis-Skelly,DEF,Arsenal,51,2.03,1,13
11,Benjamin White,DEF,Arsenal,51,0.0,1,7
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,1.81,1,90
13,Brayden Clarke,DEF,Arsenal,38,0.0,0,0
15,Josh Nichols,DEF,Arsenal,38,0.0,0,0
16,Bukayo Saka,MID,Arsenal,103,5.87,6,82
17,Martin Ødegaard,MID,Arsenal,78,4.53,5,90
18,Noni Madueke,MID,Arsenal,68,1.31,1,7
19,Gabriel Martinelli Silva,MID,Arsenal,68,0.78,0,0
20,Leandro Trossard,MID,Arsenal,69,2.36,13,90
21,Declan Rice,MID,Arsenal,72,0.0,0,0
22,Mikel Merino Zazón,MID,Arsenal,58,4.43,2,72
24,Christian Nørgaard,MID,Arsenal,51,0.67,1,17
25,Ethan Nwaneri,MID,Arsenal,51,0.54,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,52,3.26,8,90
27,Reiss Nelson,MID,Brentford,48,1.44,1,10
30,Kai Havertz,FWD,Arsenal,73,1.07,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.5,4,13
32,Emiliano Martínez Romero,GK,Aston Villa,50,2.33,1,90
33,Marco Bizot,GK,Aston Villa,42,0.02,0,0
36,Matty Cash,DEF,Aston Villa,49,0.0,0,0
37,Lucas Digne,DEF,Aston Villa,45,0.85,0,90
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,2.13,0,90
39,Ian Maatsen,DEF,Aston Villa,42,2.38,0,0
40,Tyrone Mings,DEF,Aston Villa,43,0.0,0,0
41,Pau Torres,DEF,Aston Villa,43,2.16,0,0
42,Andrés García,DEF,Aston Villa,39,0.0,0,29
44,Lamare Bogarde,DEF,Aston Villa,40,2.15,-1,90
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,74,2.92,1,81
48,Youri Tielemans,MID,Aston Villa,59,3.02,2,81
50,Emiliano Buendía Stati,MID,Aston Villa,53,1.64,2,60
52,Jacob Ramsey,MID,Newcastle,53,1.41,1,10
53,Donyell Malen,MID,Aston Villa,51,1.82,4,29
54,John McGinn,MID,Aston Villa,54,2.54,1,45
55,Ross Barkley,MID,Aston Villa,48,0.0,0,0
58,Boubacar Kamara,MID,Aston Villa,49,0.0,0,0
59,Amadou Onana,MID,Aston Villa,48,3.04,1,45
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,1,8
63,Kadan Young,MID,Aston Villa,43,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,85,2.97,5,90
67,Đorđe Petrović,GK,Bournemouth,45,2.44,1,90
68,Will Dennis,GK,Bournemouth,40,0.02,0,0
69,Callan McKenna,GK,Bournemouth,39,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,49,3.11,3,90
73,Adam Smith,DEF,Bournemouth,44,1.12,1,1
74,Adrien Truffert,DEF,Bournemouth,45,2.24,3,90
75,Matai Akinmboni,DEF,Bournemouth,38,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,39,0.0,0,0
77,James Hill,DEF,Bournemouth,39,0.58,3,90
78,Julián Araujo Zúñiga,DEF,Bournemouth,38,0.06,0,0
80,Julio Soler Barreto,DEF,Bournemouth,40,0.11,0,0
81,Justin Kluivert,MID,Bournemouth,70,2.87,9,90
82,Antoine Semenyo,MID,Bournemouth,77,3.78,5,90
83,Dango Ouattara,MID,Brentford,59,0.0,0,0
84,Marcus Tavernier,MID,Bournemouth,56,3.47,3,90
85,Tyler Adams,MID,Bournemouth,50,0.0,0,0
86,David Brooks,MID,Bournemouth,50,1.81,10,77
87,Ryan Christie,MID,Bournemouth,49,2.62,0,0
88,Lewis Cook,MID,Bournemouth,49,2.58,0,0
90,Alex Scott,MID,Bournemouth,50,1.47,2,90
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,70,3.21,2,81
98,Enes Ünal,FWD,Bournemouth,54,0.44,1,8
100,Junior Kroupi,FWD,Bournemouth,46,0.78,0,0
101,Caoimhín Kelleher,GK,Brentford,45,3.38,6,90
102,Ellery Balcombe,GK,Brentford,39,0.0,0,0
103,Matthew Cox,GK,Brentford,39,0.0,0,0
104,Julian Eyestone,GK,Brentford,39,0.0,0,0
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.03,0,0
106,Nathan Collins,DEF,Brentford,49,4.48,9,90
107,Keane Lewis-Potter,DEF,Brentford,49,4.28,6,90
108,Kristoffer Ajer,DEF,Brentford,44,3.96,9,90
109,Rico Henry,DEF,Brentford,43,0.36,6,90
110,Michael Kayode,DEF,Brentford,45,3.45,6,90
111,Ethan Pinnock,DEF,Brentford,42,0.8,0,0
113,Sepp van den Berg,DEF,Brentford,45,2.53,0,0
114,Benjamin Arthur,DEF,Brentford,39,0.0,0,0
116,Aaron Hickey,DEF,Brentford,40,2.48,0,0
119,Bryan Mbeumo,MID,Man Utd,81,0.0,0,0
120,Kevin Schade,MID,Brentford,70,4.62,3,79
121,Mikkel Damsgaard,MID,Brentford,58,2.25,0,0
122,Antoni Milambo,MID,Brentford,52,0.0,0,0
123,Fábio Freitas Gouveia Carvalho,MID,Brentford,47,0.0,0,0
124,Jordan Henderson,MID,Brentford,50,2.96,2,90
125,Vitaly Janelt,MID,Brentford,49,1.96,5,90
126,Mathias Jensen,MID,Brentford,49,2.02,1,10
127,Gustavo Nunes Fernandes Gomes,MID,Brentford,49,0.0,0,0
128,Frank Onyeka,MID,Brentford,48,0.0,0,0
129,Yehor Yarmoliuk,MID,Brentford,50,3.17,5,79
130,Romelle Donovan,MID,Brentford,44,0.0,0,0
131,Yunus Emre Konak,MID,Brentford,43,0.0,0,0
132,Paris Maghoma,MID,Brentford,45,0.0,0,0
133,Myles Peart-Harris,MID,Brentford,44,0.0,0,0
135,Yoane Wissa,FWD,Newcastle,73,1.55,6,79
136,Igor Thiago Nascimento Rodrigues,FWD,Brentford,70,4.38,2,90
137,Iwan Morgan,FWD,Brentford,44,0.0,0,0
138,Jason Steele,GK,Brighton,42,0.04,0,0
139,Bart Verbruggen,GK,Brighton,44,3.13,1,90
140,Tom McGill,GK,Brighton,39,0.0,0,0
143,Olivier Boscagli,DEF,Brighton,42,0.21,0,0
144,Diego Coppola,DEF,Brighton,42,0.12,0,0
145,Maxim De Cuyper,DEF,Brighton,43,1.16,0,57
146,Lewis Dunk,DEF,Brighton,45,3.24,2,90
148,Ferdi Kadıoğlu,DEF,Brighton,44,3.15,4,90
149,Igor Julio dos Santos de Paulo,DEF,West Ham,45,0.0,0,0
151,Jan Paul van Hecke,DEF,Brighton,45,3.63,0,90
152,Joël Veltman,DEF,Brighton,43,0.68,10,90
153,Adam Webster,DEF,Brighton,44,0.0,0,0
156,Charlie Tasker,DEF,Brighton,39,0.01,0,0
157,Mitoma Kaoru,MID,Brighton,61,3.05,1,32
158,Georginio Rutter,MID,Brighton,56,3.81,1,18
159,Solly March,MID,Brighton,58,0.31,0,0
160,Yankuba Minteh,MID,Brighton,60,3.48,4,57
162,Brajan Gruda,MID,Brighton,54,2.87,1,32
163,Jack Hinshelwood,MID,Brighton,51,2.51,1,18
166,Yasin Ayari,MID,Brighton,48,3.51,4,90
167,Carlos Baleba,MID,Brighton,46,0.0,0,0
168,Facundo Buonanotte,MID,Chelsea,46,0.0,0,0
169,Diego Gómez Amarilla,MID,Brighton,49,2.84,2,71
170,James Milner,MID,Brighton,49,0.55,1,71
172,Tom Watson,MID,Brighton,48,0.15,0,0
173,Mats Wieffer,MID,Brighton,49,3.42,0,0
175,Joe Knight,MID,Brighton,44,0.0,0,0
178,Danny Welbeck,FWD,Brighton,63,4.12,3,82
180,Stefanos Tzimas,FWD,Brighton,52,0.0,0,0
181,Charalampos Kostoulas,FWD,Brighton,48,1.08,0,7
182,James Trafford,GK,Man City,46,0.04,0,0
183,Max Weiß,GK,Burnley,43,0.03,0,0
185,Václav Hladký,GK,Burnley,39,0.0,0,0
186,Connor Roberts,DEF,Burnley,44,0.0,0,0
187,Kyle Walker,DEF,Burnley,44,2.36,0,90
188,Hannes Delcroix,DEF,Burnley,38,0.0,0,0
190,Hjalmar Ekdal,DEF,Burnley,39,3.12,3,90
191,Maxime Estève,DEF,Burnley,39,0.92,0,14
192,Quilindschy Hartman,DEF,Burnley,40,1.21,0,0
193,Bashir Humphreys,DEF,Burnley,39,0.08,2,75
194,Jordan Beyer,DEF,Burnley,39,0.0,0,0
195,Lucas Pires Silva,DEF,Burnley,38,1.47,1,90
197,Oliver Sonne,DEF,Burnley,38,0.34,0,0
198,Axel Tuanzebe,DEF,Burnley,39,0.0,0,0
199,Joe Worrall,DEF,Burnley,38,2.5,0,0
200,Jaidon Anthony,MID,Burnley,52,2.89,0,0
202,Jacob Bruun Larsen,MID,Burnley,53,2.28,1,16
203,Enock Agyei,MID,Burnley,47,0.0,0,0
205,Josh Cullen,MID,Burnley,50,1.62,0,0
206,Marcus Edwards,MID,Burnley,47,0.07,2,90
207,Hannibal Mejbri,MID,Burnley,47,0.0,0,0
209,Josh Laurent,MID,Burnley,48,2.67,10,90
210,Loum Tchaouna,MID,Burnley,49,2.26,2,73
213,Jaydon Banel,MID,Burnley,45,0.0,0,0
