id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,39,2.78,10
87,Ryan Christie,MID,Bournemouth,49,0.0,0
216,Zeki Amdouni,FWD,Burnley,48,0.0,0
612,Lucas Tolentino Coelho de Lima,MID,West Ham,59,3.85,2
672,Jorrel Hato,DEF,Chelsea,47,0.28,0
133,Myles Peart-Harris,MID,Brentford,44,0.0,0
193,Bashir Humphreys,DEF,Burnley,39,0.0,0
203,Enock Agyei,MID,Burnley,47,0.0,0
306,Callum Bates,MID,Everton,44,0.01,0
289,Harry Tyrer,GK,Everton,39,0.0,0
574,Destiny Udogie,DEF,Spurs,44,0.0,0
529,Simon Moore,GK,Sunderland,39,0.0,0
593,Pape Matar Sarr,MID,Spurs,46,1.52,0
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.04,0
72,Marcos Senesi Barón,DEF,Bournemouth,50,3.13,1
386,Alexis Mac Allister,MID,Liverpool,62,3.54,3
643,André Trindade da Costa Neto,MID,Wolves,53,2.72,4
482,Harrison Ashby,DEF,Newcastle,39,0.02,0
323,Samuel Amissah,DEF,Fulham,38,0.06,0
326,Adama Traoré Diarra,MID,Fulham,51,1.2,1
166,Yasin Ayari,MID,Brighton,49,3.03,1
422,Mateo Kovačić,MID,Man City,59,0.0,0
310,Thierno Barry,FWD,Everton,57,3.12,2
608,Ollie Scarles,DEF,West Ham,43,0.68,0
410,Rico Lewis,DEF,Man City,47,0.83,1
350,Brenden Aaronson,MID,Leeds,54,1.44,1
561,Eliezer Mayenda Dossou,FWD,Sunderland,53,0.5,0
10,Myles Lewis-Skelly,DEF,Arsenal,51,4.82,1
633,Hugo Bueno López,DEF,Wolves,44,0.45,0
637,Toti Gomes,DEF,Wolves,43,1.37,4
267,Ismaïla Sarr,MID,Crystal Palace,64,1.2,2
406,Abdukodir Khusanov,DEF,Man City,54,1.14,0
690,Rio Cardines,MID,Crystal Palace,44,0.04,0
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,3.43,3
549,Dan Neil,MID,Sunderland,48,0.36,0
242,Kiernan Dewsbury-Hall,MID,Everton,51,3.35,1
478,Kieran Trippier,DEF,Newcastle,49,0.0,0
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,2.07,1
477,Tino Livramento,DEF,Newcastle,49,3.58,2
320,Issa Diop,DEF,Fulham,43,0.44,0
599,Dane Scarlett,FWD,Spurs,43,0.03,0
38,Ezri Konsa Ngoyo,DEF,Aston Villa,44,3.49,1
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
591,Archie Gray,MID,Spurs,48,1.08,0
552,Noah Sadiki,MID,Sunderland,50,2.55,3
415,Sávio Moreira de Oliveira,MID,Man City,69,1.15,4
106,Nathan Collins,DEF,Brentford,49,4.41,4
459,Manuel Ugarte Ribeiro,MID,Man Utd,47,0.65,0
473,Lewis Hall,DEF,Newcastle,52,3.62,4
230,Wesley Fofana,DEF,Chelsea,44,3.5,9
536,Leo Fuhr Hjelde,DEF,Sunderland,40,0.0,0
602,Krisztián Hegyi,GK,West Ham,39,0.0,0
270,Will Hughes,MID,Crystal Palace,47,1.1,1
456,Jadon Sancho,MID,Aston Villa,58,1.01,0
697,Amine Adli,MID,Bournemouth,54,0.88,0
575,Micky van de Ven,DEF,Spurs,47,3.24,1
606,Konstantinos Mavropanos,DEF,West Ham,44,3.25,1
631,Emmanuel Agbadou,DEF,Wolves,43,2.08,0
424,Oscar Bobb,MID,Man City,52,0.68,0
124,Jordan Henderson,MID,Brentford,50,2.86,9
329,Harry Wilson,MID,Fulham,54,3.45,16
684,Malick Thiaw,DEF,Newcastle,50,3.9,3
396,Trey Nyoni,MID,Liverpool,43,0.01,0
709,Ladislav Krejcí,DEF,Wolves,45,2.23,2
228,Malo Gusto,DEF,Chelsea,49,3.67,18
418,Jérémy Doku,MID,Man City,66,2.89,0
619,Luis Guilherme Lira dos Santos,MID,West Ham,49,0.44,0
345,Sebastiaan Bornauw,DEF,Leeds,38,0.08,0
274,Asher Agbinone,MID,Crystal Palace,43,0.01,0
502,Matz Sels,GK,Nott'm Forest,47,3.46,0
713,Álex Jiménez Sánchez,DEF,Bournemouth,45,2.0,3
658,Nathan Fraser,FWD,Wolves,43,0.01,0
302,Idrissa Gana Gueye,MID,Everton,54,2.78,4
276,Justin Devenny,MID,Crystal Palace,43,0.71,0
341,Karl Darlow,GK,Leeds,39,0.03,0
100,Junior Kroupi,FWD,Bournemouth,46,1.47,5
544,Habib Diarra,MID,Sunderland,53,0.0,0
567,Antonín Kinský,GK,Spurs,39,0.03,0
67,Đorđe Petrović,GK,Bournemouth,45,2.66,1
600,Alphonse Areola,GK,West Ham,43,2.97,1
5,Gabriel dos Santos Magalhães,DEF,Arsenal,62,0.0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0
680,Armando Broja,FWD,Burnley,52,0.72,2
229,Benoît Badiashile Mukinayi,DEF,Chelsea,44,0.42,0
739,Divine Mukasa,MID,Man City,44,0.02,0
644,Jean-Ricner Bellegarde,MID,Wolves,52,0.0,0
507,Ola Aina,DEF,Nott'm Forest,47,0.0,0
387,Dominik Szoboszlai,MID,Liverpool,67,5.14,3
696,Arnaud Kalimuendo,FWD,Nott'm Forest,60,1.05,0
401,Marcus Bettinelli,GK,Man City,39,0.0,0
613,Tomáš Souček,MID,West Ham,57,1.35,1
419,Jack Grealish,MID,Everton,66,3.27,2
356,Ilia Gruev,MID,Leeds,47,1.33,0
63,Kadan Young,MID,Aston Villa,43,0.01,0
392,Endo Wataru,MID,Liverpool,49,0.11,0
727,Samuel Chukwueze,MID,Fulham,53,1.27,5
173,Mats Wieffer,MID,Brighton,49,3.16,2
568,Pedro Porro Sauceda,DEF,Spurs,53,3.59,0
271,Daichi Kamada,MID,Crystal Palace,50,3.47,1
243,Tyrique George,MID,Chelsea,48,0.27,0
621,Andy Irving,MID,West Ham,44,0.25,0
469,Nick Pope,GK,Newcastle,51,0.33,0
638,Ki-Jana Hoever,DEF,Wolves,38,0.62,0
645,Fer López González,MID,Wolves,52,1.59,1
353,Daniel James,MID,Leeds,53,0.0,0
554,Abdoullah Ba,MID,Sunderland,43,0.0,0
214,Mike Trésor Ndayishimiye,MID,Burnley,44,0.0,1
103,Matthew Cox,GK,Brentford,39,0.0,0
300,Dwight McNeil,MID,Everton,55,0.41,0
52,Jacob Ramsey,MID,Newcastle,53,0.55,0
721,Veljko Milosavljevic,DEF,Bournemouth,45,0.0,0
651,Tom Edozie,MID,Wolves,43,0.0,0
307,Coby Ebere,MID,Everton,44,0.01,0
144,Diego Coppola,DEF,Brighton,42,0.15,0
738,Lukasz Fabianski,GK,West Ham,45,0.0,0
59,Amadou Onana,MID,Aston Villa,48,1.76,2
367,Giorgi Mamardashvili,GK,Liverpool,43,0.03,0
385,Federico Chiesa,MID,Liverpool,63,1.25,1
328,Ryan Sessegnon,MID,Fulham,54,0.0,0
409,John Stones,DEF,Man City,54,0.0,0
551,Chris Rigg,MID,Sunderland,47,0.63,0
539,Luke O'Nien,DEF,Sunderland,40,0.0,0
198,Axel Tuanzebe,DEF,Burnley,39,0.0,1
294,Séamus Coleman,DEF,Everton,43,0.24,0
301,Carlos Alcaraz Durán,MID,Everton,52,0.64,2
297,Roman Dixon,DEF,Everton,38,0.08,0
728,Merlin Röhl,MID,Everton,50,0.0,0
156,Charlie Tasker,DEF,Brighton,39,0.01,0
135,Yoane Wissa,FWD,Newcastle,73,0.77,1
260,Marc Guéhi,DEF,Crystal Palace,52,2.87,1
205,Josh Cullen,MID,Burnley,50,3.03,4
430,Erling Haaland,FWD,Man City,150,6.09,13
573,Djed Spence,DEF,Spurs,43,3.01,0
104,Julian Eyestone,GK,Brentford,39,0.0,0
368,Ármin Pécsi,GK,Liverpool,39,0.0,0
660,Anton Stach,MID,Leeds,48,3.25,2
272,Jefferson Lerma Solís,MID,Crystal Palace,49,2.21,0
194,Jordan Beyer,DEF,Burnley,40,0.0,0
398,Jayden Danns,FWD,Liverpool,43,0.02,0
686,Rio Ngumoha,MID,Liverpool,43,0.66,0
566,Brandon Austin,GK,Spurs,39,0.0,0
113,Sepp van den Berg,DEF,Brentford,45,3.91,4
691,Dominic Calvert-Lewin,FWD,Leeds,56,3.85,9
610,Aaron Wan-Bissaka,DEF,West Ham,42,3.04,1
547,Enzo Le Fée,MID,Sunderland,49,3.72,2
471,Mark Gillespie,GK,Newcastle,39,0.0,0
354,Ethan Ampadu,MID,Leeds,49,3.02,2
45,Lino da Cruz Sousa,DEF,Aston Villa,39,0.01,0
716,Nicolò Savona,DEF,Nott'm Forest,45,3.33,5
336,Harrison Reed,MID,Fulham,43,0.17,0
292,Vitalii Mykolenko,DEF,Everton,49,2.72,1
128,Frank Onyeka,MID,Brentford,48,0.0,0
427,Tijjani Reijnders,MID,Man City,52,2.13,3
149,Igor Julio dos Santos de Paulo,DEF,West Ham,45,0.42,0
223,Gabriel Słonina,GK,Chelsea,39,0.0,0
119,Bryan Mbeumo,MID,Man Utd,83,5.09,2
298,Reece Welch,DEF,Everton,38,0.09,0
707,Tyler Dibling,MID,Everton,53,0.67,1
88,Lewis Cook,MID,Bournemouth,49,0.0,0
85,Tyler Adams,MID,Bournemouth,50,3.18,1
480,Jamaal Lascelles,DEF,Newcastle,43,0.17,0
42,Andrés García,DEF,Aston Villa,39,0.0,0
48,Youri Tielemans,MID,Aston Villa,59,3.91,6
137,Iwan Morgan,FWD,Brentford,44,0.0,0
719,Victor Lindelöf,DEF,Aston Villa,45,1.15,4
615,Crysencio Summerville,MID,West Ham,55,2.82,2
